id,level1_state0_dur,level1_state1_dur,level1_state2_dur,level2_state0_dur,level2_state1_dur,level2_state2_dur,level3_state0_dur,level3_state1_dur,level3_state2_dur,level4_state0_dur,level4_state1_dur,level4_state2_dur,level5_state0_dur,level5_state1_dur,level5_state2_dur,level6_state0_dur,level6_state1_dur,level6_state2_dur,level7_state0_dur,level7_state1_dur,level7_state2_dur,level8_state0_dur,level8_state1_dur,level8_state2_dur,level9_state0_dur,level9_state1_dur,level9_state2_dur,level10_state0_dur,level10_state1_dur,level10_state2_dur,level11_state0_dur,level11_state1_dur,level11_state2_dur
14273,6263,0,7991,6349,0,10985,9538,0,7991,18433,9995,7994,19363,9985,7992,18042,9996,7993,6585,0,8005,9371,7992,7992,10566,7992,7993,10537,7992,7991,10190,0,7994
14274,6262,0,7992,6348,0,11000,9566,0,7991,18431,9997,7992,19339,9994,7992,18040,9984,7993,6598,0,7992,9382,7992,7994,10537,7992,7993,10481,7923,7993,10190,0,7990
14275,6261,0,7994,6349,0,10984,9550,0,7991,18461,9983,7992,19352,9995,7993,18068,9996,7993,6586,0,7990,9371,7991,7990,10540,7992,7991,10539,7993,7991,10192,0,7991
14276,6261,0,7993,6361,0,10986,9549,0,7992,18431,9997,7991,19354,9998,7992,18068,9914,7989,6587,0,7992,9369,7993,7991,10551,7994,7992,10553,7991,7991,10191,0,7992
14279,6262,0,8006,6335,0,10999,9537,0,7643,18281,9996,7991,19365,9996,7992,18042,9997,7991,6585,0,7991,9354,7992,7991,10540,7991,7991,10540,7992,7989,10192,0,7993
14280,6275,0,7993,6362,0,10998,9551,0,7991,18432,9998,7991,19350,9998,7992,18058,9983,7991,6599,0,7990,9385,7992,7992,10554,7991,7991,10552,7992,7992,10190,0,7993
14281,6263,0,7992,6363,0,11000,9565,0,7965,18379,9997,7991,19352,9997,7992,18074,9995,7992,6599,0,7991,9369,7992,7992,10565,7992,7992,10540,7991,7990,10191,0,7992
14282,6275,0,7985,6349,0,10998,9528,0,7985,18444,9986,7999,19362,9986,8000,18066,9972,8002,6596,0,8001,9388,7986,8000,10570,7985,7985,10540,7986,8000,10208,0,8001
14283,6263,0,7834,6336,0,10972,9556,0,7985,18375,9845,7999,19276,9874,7998,18050,9988,7680,5972,0,7999,9387,7988,7984,10484,7973,7986,10555,7680,7998,9709,0,7846
14284,6275,0,7985,6362,0,11000,9552,0,7988,18459,9972,7999,19358,10001,7987,18069,9999,8000,6582,0,8000,9362,7998,7986,10569,7999,7986,10568,8001,8000,10194,0,7986
14289,6262,0,7990,6348,0,10997,9539,0,7992,18322,9955,7992,19325,9898,7992,18056,9997,7965,6433,0,7950,9368,7990,7992,10554,7991,7992,10551,7992,7993,10192,0,7990
14290,6275,0,7992,6363,0,10998,9537,0,7990,18464,9996,7991,19354,9997,7991,18056,9998,7990,6599,0,7993,9273,7992,7990,10554,7993,7992,10482,7894,7991,10189,0,7993
14291,6263,0,7991,6363,0,10998,9551,0,7991,18448,9968,7991,19352,9999,7991,18030,9998,7991,6584,0,7991,9358,7991,7991,10537,8006,7993,10552,7992,7991,10191,0,7993
14293,6260,0,7987,6345,0,10987,9542,0,7986,18441,10002,8001,19346,9986,8000,18067,9988,7985,6598,0,7986,9374,7999,8000,10554,7999,8001,10556,7999,7985,10209,0,7985
14294,6266,0,7991,6346,0,10986,9552,0,7992,18431,9997,7991,19348,9998,7991,18071,9982,8006,6598,0,7993,9382,7993,7992,10548,7993,7992,10551,7992,7992,10192,0,7992
14295,6274,0,7996,6361,0,10985,9556,0,7986,18469,9974,7986,19373,9987,7985,18041,9986,7999,6610,0,7986,9359,8002,7999,10541,7999,7987,10553,8001,7987,10207,0,8001
14296,6248,0,7987,6348,0,10944,9209,0,7986,18334,9972,8000,19302,9918,7987,18069,9972,7987,6595,0,7973,9236,7916,7986,10554,7861,7736,10361,7624,7666,10153,0,7750
14297,6275,0,7999,6361,0,10997,9557,0,8000,18446,9999,8000,19344,9988,8000,18066,9974,7988,6597,0,7985,9376,8000,7999,10566,7988,7987,10427,7974,7987,10207,0,8000
14298,6275,0,7986,6334,0,10998,9542,0,7986,18440,9987,7989,19358,10000,8001,18066,10003,8001,6595,0,7987,9360,8001,7998,10552,8001,8001,10567,7999,8001,10193,0,8000
14299,6262,0,8005,6362,0,10998,9552,0,7991,18432,9915,7991,19352,9968,7937,18072,9983,7991,6585,0,7992,9367,7993,7993,10553,7994,7992,10552,7992,7992,10204,0,7994
14300,6262,0,7987,6362,0,10998,9541,0,8001,18457,9986,7986,19374,10000,7986,18068,9986,7999,6611,0,8001,9373,8000,7999,10555,7987,7987,10556,7986,8001,10206,0,7986
14301,6262,0,8000,6361,0,10999,9555,0,7985,18460,9985,7986,19371,9988,8000,18043,9985,7986,6597,0,7999,9388,8001,7986,10568,7986,8000,10568,7987,8001,10209,0,7999
14302,6275,0,7987,6347,0,11000,9550,0,8001,18428,9988,7987,19358,9973,7987,18065,9987,8000,6596,0,8000,9374,8003,7999,10541,7848,7999,10554,8000,8001,10209,0,7999
14303,6263,0,7991,6363,0,10985,9551,0,7993,18445,9999,7993,19364,9970,7991,18099,9997,7992,6598,0,7990,9259,7893,7908,10483,7908,7991,10565,7993,7993,10189,0,7992
14304,6252,0,7994,6349,0,10984,9551,0,7992,18448,9996,7991,19336,9996,7993,18060,9997,7991,6598,0,7994,9371,7991,7990,10527,7852,7991,10551,7991,7992,10192,0,7990
14305,6190,0,7820,6305,0,10833,9444,0,7998,18430,9930,7986,18984,9680,7749,17708,9821,8000,6596,0,7986,9388,7985,8000,10401,7919,7999,10567,7988,8001,10194,0,8000
